NOMBRE_REGION,REGION_PADRE
America,America
Norte America,America
Sur America,America
Centro America,America
El Caribe,America
Europa,Europa
Europa del Este,Europa
Centro Europa,Europa
Europa del Oeste,Europa
Europa Occidental,Europa
Asia,Asia
Lejano Oriente,Asia
Cercano Oriente,Asia
Africa,Africa
Norte Africana,Africa
Centro Africana,Africa
Sur Africana,Africa
Mediterraneo,Africa
Oceania,Oceania
Pacifico Sur,Oceania
Pacifico,Oceania
Pacifico Central,Oceania
